,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,clusters,cluster
726,4.62196207046509,8.02548885345459,0.648350894451141,43.9599990844727,0.610410034656525,0.249354436993599,0.668975710868835,0.52825129032135,0.32665553689003,0.355143219232559,2,dark purple
727,3.88877844810486,8.02840614318848,0.55414879322052,49.2799987792969,0.508805453777313,0.245497912168503,0.707521259784698,0.573324143886566,0.327208459377289,0.325261920690536,2,dark purple
728,3.56976246833801,8.03991317749023,0.564319670200348,54.5999984741211,0.398295491933823,0.265667706727982,0.777403950691223,0.597596824169159,0.332539677619934,0.297118127346039,2,dark purple
729,3.35230016708374,8.04446220397949,0.583742439746857,54.9000015258789,0.303540408611298,0.25079157948494,0.838523149490356,0.532205283641815,0.367341011762619,0.146064624190331,2,dark purple
730,3.82386565208435,8.0562047958374,0.646984994411469,55.2000007629395,0.484429150819778,0.339526951313019,0.64719158411026,0.570106565952301,0.321692764759064,0.435076951980591,2,dark purple
731,3.61492800712585,8.06000423431396,0.537975907325745,55.5,0.591468393802643,0.379918068647385,0.720444738864899,0.580672979354858,0.358720034360886,0.367896646261215,2,dark purple
732,5.39651966094971,8.46243000030518,0.932676792144775,63.0999984741211,0.650253593921661,0.0887679234147072,0.84353905916214,0.837169110774994,0.155473977327347,0.439894914627075,0,pink
733,5.09715414047241,8.49990940093994,0.818868577480316,62.9000015258789,0.675630986690521,0.229906514286995,0.825974702835083,0.711917400360107,0.198780000209808,0.33607342839241,0,pink
734,5.42033100128174,8.51951217651367,0.828175902366638,62.7000007629395,0.686880886554718,0.222679302096367,0.863222002983093,0.718948781490326,0.205853819847107,0.288161844015121,0,pink
735,6.03318929672241,8.47383975982666,0.823966085910797,62.5,0.661202788352966,0.118221871554852,0.856734335422516,0.744660377502441,0.261304348707199,0.287242412567139,0,pink
736,5.86613130569458,8.49022769927979,0.802938997745514,62.2999992370605,0.645528495311737,0.105017967522144,0.819940090179443,0.745393693447113,0.259946256875992,0.302966445684433,0,pink
737,4.96103143692017,8.50843524932861,0.765701830387115,62.0999984741211,0.783369064331055,0.0950577184557915,0.883963167667389,0.75679486989975,0.307470977306366,0.293331980705261,0,pink
738,4.60221815109253,8.53020000457764,0.779194891452789,61.9000015258789,0.700452089309692,-0.0036484785377979,0.871437132358551,0.796344339847565,0.293591260910034,0.263352960348129,0,pink
739,4.7133584022522,8.53963088989258,0.7919602394104,61.7000007629395,0.698400378227234,-0.0276670344173908,0.8676997423172,0.794984698295593,0.283281326293945,0.253187000751495,0,pink
740,5.05572605133057,8.55206108093262,0.790214538574219,61.5,0.695982575416565,0.0146178128197789,0.834350109100342,0.794057786464691,0.299388498067856,0.329523891210556,0,pink
741,4.84543657302856,8.57232856750488,0.772375524044037,61.2999992370605,0.534057676792145,-0.0973057150840759,0.848082721233368,0.829365372657776,0.310766160488129,0.296962648630142,0,pink
742,5.64815473556519,8.59334182739258,0.773909986019135,61.7249984741211,0.850046694278717,0.0795159712433815,0.792875170707703,0.790041089057922,0.296846687793732,0.389274507761002,0,pink
743,6.01998567581177,8.62371253967285,0.843354940414429,62.1500015258789,0.898377418518066,0.0716067254543304,0.783429443836212,0.796158134937286,0.248383343219757,0.495585024356842,0,pink
744,5.90842390060425,8.64477062225342,0.827067017555237,62.5750007629395,0.872161686420441,0.098558783531189,0.803564786911011,0.821862280368805,0.287357896566391,0.398913681507111,0,pink
745,5.93005132675171,8.65454864501953,0.79714834690094,63.0,0.84619003534317,0.0620481297373772,0.814962923526764,0.789050698280334,0.278882086277008,0.358097195625305,0,pink
746,6.1136360168457,8.57476902008057,0.805980861186981,63.8499984741211,0.835045754909515,0.119133651256561,0.847225427627563,0.807722806930542,0.269214004278183,0.226496547460556,0,pink
760,4.95391702651978,10.147741317749,0.930653870105743,65.3199996948242,0.538498103618622,-0.162447407841682,0.89517742395401,0.600212454795837,0.230282992124557,0.249713569879532,0,pink
